1,2,3
29,0,0
0,5953,0
0,0,190
1,2,3
28,0,0
0,5635,0
0,0,184
1,2,3
27,0,0
0,5317,0
0,0,178
1,2,3
26,0,0
0,4999,0
0,0,172
1,2,3
26,0,0
0,4686,0
0,0,160
1,2,3
22,0,0
0,4372,0
0,0,153
1,2,3
16,0,0
0,4061,0
0,0,146
1,2,3
15,0,0
0,3746,0
0,0,137
1,2,3
11,0,0
0,3440,0
0,0,122
1,2,3
9,0,0
0,3136,0
0,0,103
1,2,3
9,0,0
0,2825,0
0,0,89
1,2,3
8,0,0
0,2509,0
0,0,81
1,2,3
6,0,0
0,2196,0
0,0,71
1,2,3
5,0,0
0,1888,0
0,0,56
1,2,3
5,0,0
0,1571,0
0,0,48
1,2,3
2,0,0
0,1259,0
0,0,38
1,2,3
2,0,0
0,946,0
0,0,26
1,2,3
1,0,0
0,629,0
0,0,19
1,2,3
1,0,0
0,312,0
0,0,11
