1,2,3
27,0,0
0,5957,0
0,0,188
1,2,3
26,0,0
0,5643,0
0,0,178
1,2,3
26,0,0
0,5332,0
0,0,164
1,2,3
23,0,0
0,5019,0
0,0,155
1,2,3
23,0,0
0,4708,0
0,0,141
1,2,3
23,0,0
0,4394,0
0,0,130
1,2,3
22,0,0
0,4083,0
0,0,118
1,2,3
21,0,0
0,3768,0
0,0,109
1,2,3
17,0,0
0,3455,0
0,0,101
1,2,3
17,0,0
0,3141,0
0,0,90
1,2,3
17,0,0
0,2825,0
0,0,81
1,2,3
15,0,0
0,2512,0
0,0,71
1,2,3
14,0,0
0,2198,0
0,0,61
1,2,3
10,0,0
0,1887,0
0,0,52
1,2,3
8,0,0
0,1572,0
0,0,44
1,2,3
8,0,0
0,1257,0
0,0,34
1,2,3
7,0,0
0,943,0
0,0,24
1,2,3
5,0,0
0,630,0
0,0,14
1,2,3
3,0,0
0,317,0
0,0,4
