1,2,3
29,0,0
0,5949,0
0,0,194
1,2,3
26,0,0
0,5638,0
0,0,183
1,2,3
26,0,0
0,5321,0
0,0,175
1,2,3
24,0,0
0,5006,0
0,0,167
1,2,3
22,0,0
0,4691,0
0,0,159
1,2,3
21,0,0
0,4379,0
0,0,147
1,2,3
20,0,0
0,4067,0
0,0,136
1,2,3
17,0,0
0,3753,0
0,0,128
1,2,3
15,0,0
0,3443,0
0,0,115
1,2,3
12,0,0
0,3132,0
0,0,104
1,2,3
11,0,0
0,2822,0
0,0,90
1,2,3
10,0,0
0,2507,0
0,0,81
1,2,3
10,0,0
0,2193,0
0,0,70
1,2,3
9,0,0
0,1882,0
0,0,58
1,2,3
8,0,0
0,1567,0
0,0,49
1,2,3
7,0,0
0,1256,0
0,0,36
1,2,3
7,0,0
0,944,0
0,0,23
1,2,3
3,0,0
0,632,0
0,0,14
1,2,3
1,0,0
0,315,0
0,0,8
