1,2,3
24,0,0
4,5957,174
0,0,13
1,2,3
24,0,0
4,5642,165
0,0,12
1,2,3
24,0,0
4,5324,159
0,0,11
1,2,3
0,0,0
27,5007,0
0,0,163
1,2,3
0,0,0
27,4692,0
0,0,153
1,2,3
22,0,0
3,4376,138
0,0,8
1,2,3
0,0,0
25,4070,0
0,0,128
1,2,3
20,0,0
3,3759,96
0,1,19
1,2,3
19,0,0
3,3445,41
0,1,64
1,2,3
17,0,0
3,3128,95
0,2,3
1,2,3
16,0,0
2,2815,0
0,0,90
1,2,3
16,0,0
2,2500,0
0,0,80
1,2,3
11,0,0
1,2187,0
0,0,74
1,2,3
10,0,0
0,1873,0
0,0,66
1,2,3
8,0,0
0,1562,1
0,0,53
1,2,3
6,0,0
0,1248,31
0,0,14
1,2,3
6,0,0
0,926,23
0,3,16
1,2,3
0,0,0
3,618,0
0,0,28
1,2,3
0,0,0
1,309,0
0,0,14
