1,2,3
26,16,2
0,5940,112
0,0,76
1,2,3
3,2,3
23,5936,94
0,18,93
1,2,3
0,0,0
26,5952,158
0,4,32
1,2,3
0,0,0
26,5943,152
0,13,38
1,2,3
0,0,0
26,5951,171
0,5,19
1,2,3
0,0,0
26,5949,169
0,7,21
1,2,3
0,0,0
26,5951,171
0,5,19
1,2,3
0,0,0
26,5947,168
0,9,22
1,2,3
24,15,2
0,5624,107
0,0,75
1,2,3
2,1,2
22,5618,92
0,20,90
1,2,3
0,0,0
24,5635,152
0,4,32
1,2,3
0,0,0
24,5625,145
0,14,39
1,2,3
0,0,0
24,5634,165
0,5,19
1,2,3
0,0,0
24,5632,163
0,7,21
1,2,3
0,0,0
24,5634,165
0,5,19
1,2,3
0,0,0
24,5630,162
0,9,22
1,2,3
21,10,1
0,5315,106
0,0,69
1,2,3
1,0,1
20,5307,92
0,18,83
1,2,3
0,0,0
21,5321,144
0,4,32
1,2,3
0,0,0
21,5309,137
0,16,39
1,2,3
0,0,0
21,5319,158
0,6,18
1,2,3
0,0,0
21,5317,153
0,8,23
1,2,3
0,0,0
21,5318,158
0,7,18
1,2,3
0,0,0
21,5316,154
0,9,22
1,2,3
19,7,1
0,5004,104
0,0,62
1,2,3
1,0,1
18,4991,91
0,20,75
1,2,3
0,0,0
19,5005,137
0,6,30
1,2,3
0,0,0
19,4996,129
0,15,38
1,2,3
0,0,0
19,5004,150
0,7,17
1,2,3
0,0,0
19,5001,141
0,10,26
1,2,3
0,0,0
19,5006,154
0,5,13
1,2,3
0,0,0
19,5003,150
0,8,17
1,2,3
18,7,1
0,4694,96
0,0,56
1,2,3
1,0,1
17,4682,86
0,19,66
1,2,3
0,0,0
18,4695,133
0,6,20
1,2,3
0,0,0
18,4688,126
0,13,27
1,2,3
0,0,0
18,4694,137
0,7,16
1,2,3
0,0,0
18,4691,130
0,10,23
1,2,3
0,0,0
18,4696,141
0,5,12
1,2,3
0,0,0
18,4692,138
0,9,15
1,2,3
17,7,1
0,4378,91
0,0,53
1,2,3
1,0,1
16,4367,82
0,18,62
1,2,3
0,0,0
17,4378,124
0,7,21
1,2,3
0,0,0
17,4371,120
0,14,25
1,2,3
0,0,0
17,4380,130
0,5,15
1,2,3
0,0,0
17,4374,122
0,11,23
1,2,3
0,0,0
17,4380,134
0,5,11
1,2,3
0,0,0
17,4377,129
0,8,16
1,2,3
15,5,1
0,4064,88
0,0,50
1,2,3
1,0,1
14,4049,79
0,20,59
1,2,3
0,0,0
15,4063,118
0,6,21
1,2,3
0,0,0
15,4051,110
0,18,29
1,2,3
0,0,0
15,4063,119
0,6,20
1,2,3
0,0,0
15,4056,114
0,13,25
1,2,3
0,0,0
15,4063,124
0,6,15
1,2,3
0,0,0
15,4058,122
0,11,17
1,2,3
14,6,0
0,3749,85
0,0,44
1,2,3
0,0,0
14,3737,77
0,18,52
1,2,3
0,0,0
14,3749,108
0,6,21
1,2,3
0,0,0
14,3741,100
0,14,29
1,2,3
0,0,0
14,3748,109
0,7,20
1,2,3
0,0,0
14,3745,105
0,10,24
1,2,3
0,0,0
14,3749,116
0,6,13
1,2,3
0,0,0
14,3745,115
0,10,14
1,2,3
13,6,0
0,3434,84
0,0,36
1,2,3
