Shape,OS Error Mean,OS Error St Dev,OS Error Median,OS Error Min,OS Error Max,IS Error Mean,IS Error St Dev,IS Error Median,IS Error Min,IS Error Max,Time Mean,Time St Dev,Time Median,Time Min,Time Max
6,0.3028272945979747,0.16565811144906156,0.3636363636363637,0.0,0.9310344827586208,0.2954638768176894,0.16926957003024903,0.3628318584070797,0.0,0.9102564102564102,19107.055789473685,14969.93987397686,11512.5,6345,62510
"(5, 5)",0.27690280052864025,0.16562000490477116,0.3543859649122807,0.0,0.8947368421052632,0.27307803533743236,0.17060320905133153,0.3571428571428571,0.0,0.8470588235294118,25157.232631578947,21223.763241424822,11757.0,6363,88231
5,0.2640625032049709,0.16124533751932066,0.3463035019455253,0.0,0.8596491228070176,0.25653927328116977,0.1675461516745269,0.34544421847230616,0.0,0.852112676056338,21627.835789473684,15895.084232248404,12571.5,6480,63551
"(5, 5, 5, 5)",0.25790047547588624,0.16107963977011075,0.35053587275581954,0.0,0.9473684210526316,0.24950845699572702,0.16427017348755255,0.34513274336283184,0.0,0.9058823529411764,35218.918947368424,31559.05544066993,11497.0,6809,103866
"(5, 5, 5)",0.2576892248689893,0.15422423550878142,0.34883720930232553,0.0,0.6673553719008265,0.25327706363960933,0.15808835469368665,0.35211267605633795,0.0,0.7142857142857143,30678.304736842107,26748.938029527635,10990.5,6664,96528
7,0.24928596540381437,0.16389766844197054,0.3353997353997354,0.0,0.9310344827586208,0.23765279389306318,0.17078366896196745,0.327433628318584,0.0,0.9292035398230089,24085.763157894737,16297.13630810262,14199.0,6493,66979
9,0.2460886969883483,0.15990715532628327,0.33333333333333337,0.0,0.878099173553719,0.23646319345580188,0.16836379170971394,0.3214285714285714,0.0,0.8588235294117648,25410.88157894737,17503.17216275404,14476.5,7075,66837
"(6, 6)",0.24566846958744631,0.1666604648991724,0.32867132867132864,0.0,0.7284345047923323,0.2362627882031766,0.17260666539586053,0.3224789915966386,0.0,0.7857142857142857,29160.034736842106,22177.319638007055,15265.0,6493,75697
8,0.2440277331391174,0.17102320855931658,0.31034482758620685,0.0,0.9338842975206612,0.23088244969541563,0.17662926737079937,0.3008849557522124,0.0,0.91796875,25099.241578947367,17048.180365965065,14797.5,6321,64848
"(7, 7)",0.24059636802090106,0.17371828858288896,0.224500203998368,0.0,0.8837837837837837,0.23136753220619552,0.18204078557439987,0.19872831773127753,0.0,0.8835164835164835,32045.35105263158,22309.816913537426,20088.5,6781,79114
11,0.23335373054364209,0.16877433637961012,0.2253066422395495,0.0,0.9824561403508772,0.224269763640699,0.17536995513243464,0.21890756302521008,0.0,0.9142857142857144,26984.448947368423,18168.237060783096,15680.0,7188,63241
10,0.23249706479883506,0.16158329855717307,0.2412451361867705,0.0,0.9069767441860466,0.21962514427496888,0.16671618372307173,0.2462637260375954,0.0,0.8644986449864499,26945.971578947367,17551.22967150206,15925.0,6995,64906
"(5, 5, 5, 5, 5)",0.221065084991088,0.15025121334383837,0.13793103448275867,0.0,0.6673553719008265,0.2133332350409764,0.1534221950179643,0.1071428571428571,0.0,0.5,46349.81842105263,37440.83975970248,38681.5,6894,148648
"(9, 9)",0.21401854693032174,0.17780559671468688,0.10494755244755244,0.0,0.9310344827586208,0.2024010557220766,0.1837130986573698,0.08235294117647063,0.0,0.9642857142857144,37857.28157894737,23866.923458801404,38778.0,7088,93692
"(6, 6, 6)",0.21208514522281952,0.15207108893485666,0.10721067404596935,0.0,0.6923076923076923,0.20172052303637078,0.15595653706446724,0.08849557522123896,0.0,0.6267605633802817,38803.35157894737,27858.91923819261,38033.0,7095,96267
"(6, 6, 6, 6, 6)",0.20187461164765455,0.14969011431000723,0.10344827586206896,0.0,0.8632162661737524,0.19353031334390655,0.15291726192429547,0.08653846153846156,0.0,0.75,52036.88526315789,37485.20176429132,62491.5,7129,122520
"(6, 6, 6, 6)",0.19749010991161695,0.14836382434917328,0.10330578512396693,0.0,0.9149722735674676,0.18987346828009682,0.15510476497821526,0.08351648351648355,0.0,0.9642857142857144,47492.75315789474,32613.161240609083,56281.0,6599,105494
"(8, 8)",0.19406144652518817,0.16409649104868027,0.09502066115702479,0.0,0.8620689655172413,0.18073871880877648,0.1703849103318989,0.07421875,0.0,0.8214285714285714,38322.94789473684,22503.99910768703,45079.5,6475,82144
"(11, 11)",0.1899138786154702,0.160026088711437,0.09302325581395354,0.0,0.926070038910506,0.17905842435676278,0.16780827710924265,0.07488986784140972,0.0,0.91015625,42866.01,24354.29837328045,49015.5,6339,94406
"(7, 7, 7, 7)",0.1766424144408876,0.14524197124744617,0.09253659948149501,0.0,0.8888888888888888,0.1654076883557158,0.14996221240313404,0.07746478873239437,0.0,0.9285714285714286,53674.103684210524,32731.916213332493,65168.0,7388,113496
"(7, 7, 7)",0.17260211686711566,0.14161127298599158,0.09210526315789468,0.0,0.9100877192982456,0.16320269251980565,0.14836193900061134,0.07746478873239437,0.0,0.9026548672566372,46054.32736842105,27446.98805244994,55886.5,6875,104750
"(10, 10)",0.17080146269415405,0.15250406019590704,0.08771929824561409,0.0,0.909426987060998,0.15629160600846748,0.15661542125667743,0.07048458149779735,0.0,0.908450704225352,44480.036315789475,23103.081524543366,51776.5,6928,90410
"(7, 7, 7, 7, 7)",0.16670763106615707,0.13839776224039593,0.08899297423887588,0.0,0.6647173489278753,0.15331221959844896,0.14133916027813598,0.07317073170731703,0.0,0.6071428571428572,63060.637368421056,37084.01241755445,75845.5,7121,125641
"(8, 8, 8)",0.1606071224566586,0.1347157531096138,0.08771929824561409,0.0,0.7245841035120149,0.15095037685530796,0.14221146088243788,0.073943661971831,0.0,0.6785714285714286,50014.863684210526,27071.649634273334,58936.0,7022,102621
"(9, 9, 9)",0.1458703543454142,0.1298478371591024,0.08430913348946134,0.0,0.6414048059149723,0.12751810089201238,0.12929068667489801,0.06779493674333731,0.0,0.625,57166.43473684211,27222.824315874514,65532.0,7418,104314
"(9, 9, 9, 9)",0.13655136781897134,0.12073252289977739,0.08552631578947367,0.0,0.871900826446281,0.1233421850023066,0.12599650776904137,0.0703812316715543,0.0,0.8588235294117648,67437.0747368421,31822.145133143906,76035.0,8283,134576
"(10, 10, 10)",0.13526440193124362,0.13210805086302713,0.08267569750823339,0.0,0.9181286549707602,0.1217302612360283,0.1383827600798335,0.0677506775067751,0.0,0.8915989159891599,60133.066315789474,26549.958697167454,67381.0,7754,105915
"(8, 8, 8, 8)",0.13163200564572095,0.11749539944757353,0.08378378378378383,0.0,0.7913223140495868,0.11979188038618771,0.12322831181806203,0.0703812316715543,0.0,0.8,64752.778947368424,29119.813057957,73296.0,7351,120887
"(10, 10, 10, 10)",0.12677782130234375,0.12444838412340949,0.08187134502923976,0.0,0.9310344827586208,0.11229214793285627,0.12971511417770068,0.06607929515418498,0.0,0.8740740740740741,72897.03210526316,30498.31646613606,80660.0,7757,145797
"(11, 11, 11)",0.1253008962738311,0.12525490677208256,0.08108108108108103,0.0,0.8720930232558141,0.10837738699785648,0.1278488978375657,0.06470588235294117,0.0,0.8828125,63820.59,25625.017617056663,70874.5,7122,113705
"(9, 9, 9, 9, 9)",0.12363828058912907,0.10743883090686294,0.08306709265175716,0.0,0.6377079482439927,0.11127636047007741,0.11392041011801246,0.06851851851851852,0.0,0.4705882352941176,80604.01894736841,35598.18440028643,90695.0,8153,143261
"(8, 8, 8, 8, 8)",0.12088794958598743,0.10825308802506052,0.08171206225680938,0.0,0.6414048059149723,0.1068789584186002,0.11125033606871261,0.06783919597989951,0.0,0.4823529411764706,76044.29421052632,33102.78384051497,84994.0,7426,141854
"(11, 11, 11, 11)",0.12031690021995432,0.126330987026193,0.07999999999999996,0.0,0.8947368421052632,0.10395840172246784,0.12734504179858028,0.0653266331658291,0.0,0.9285714285714286,76212.86578947368,30889.945867789964,83421.0,8734,139276
"(10, 10, 10, 10, 10)",0.11517457221522581,0.10749576028369713,0.08108108108108103,0.0,0.7192982456140351,0.10047652518127757,0.10819370684444805,0.06832298136645965,0.0,0.636150234741784,85167.64736842105,33999.63607846419,93681.5,8329,150045
