Shape,OS Error Mean,OS Error St Dev,OS Error Median,OS Error Min,OS Error Max,IS Error Mean,IS Error St Dev,IS Error Median,IS Error Min,IS Error Max,Time Mean,Time St Dev,Time Median,Time Min,Time Max
"(6, 6)",0.14440616491371397,0.2941418041738196,0.03737906772207567,0.015384615384615332,1.0,0.1435246154679301,0.29455828313260113,0.036330049261083734,0.012345679012345734,0.9979466119096508,74593.99736842106,58864.096996986686,55268.0,13789,371270
"(10, 10)",0.12101148493348202,0.25340279934153437,0.03825857519788922,0.015384615384615332,1.0,0.12049597710443039,0.25384154131572656,0.03703703703703709,0.015432098765432056,0.9969135802469136,86628.81421052631,77212.33919129767,59365.0,15135,459763
"(7, 7)",0.11865923409516507,0.25814849875261514,0.037259965078174084,0.018461538461538415,0.9984615384615384,0.117739476582266,0.25821008626267766,0.03651561812582493,0.012345679012345734,0.9969135802469136,86794.41,71045.55155491274,61581.0,12873,438623
"(8, 8)",0.11712035599686854,0.25410116885457384,0.037692307692307685,0.015384615384615332,0.9969230769230768,0.11648650517768928,0.25430642973428763,0.036566589684372534,0.012345679012345734,0.998240211174659,77314.18368421053,65594.27605333395,53651.5,13917,394792
"(9, 9)",0.11578647037331462,0.25114830624271134,0.03776594211494627,0.018461538461538415,1.0,0.11500860396439984,0.2518588827481212,0.03712492956247965,0.012345679012345734,0.9989733059548256,77113.44526315789,62109.11732466952,55729.0,14655,430563
"(7, 7, 7)",0.11329667379322739,0.25242432139834203,0.03655252020007693,0.015384615384615332,0.9984615384615384,0.11264802917938949,0.2525415984334218,0.03574482640670429,0.015432098765432056,0.9969135802469136,116873.65368421053,96415.20921967208,81320.0,13670,440785
"(8, 8, 8)",0.10483766989040753,0.2332969273323509,0.03692307692307695,0.015384615384615332,0.9958960328317372,0.10429985495564109,0.23367782053442693,0.03626411221347925,0.012345679012345734,0.9984591679506932,124612.12789473684,101694.7415847414,88418.5,15329,517818
"(11, 11, 11, 11)",0.10349270450983002,0.23615055320016587,0.03661885123396763,0.015384615384615332,0.9984615384615384,0.10278877430038055,0.23642381892925998,0.035729556060494994,0.012345679012345734,0.9969214982042072,197225.78368421053,156997.29637507026,142683.0,17598,720361
"(11, 11, 11)",0.10262267879846797,0.23238432592140834,0.03693686557671977,0.015384615384615332,1.0,0.10173701174755687,0.23292192852302637,0.0364289379168804,0.012345679012345734,0.9956896551724138,122217.80578947368,107100.77848322166,85020.0,16089,540766
6,0.09555376508219775,0.21618913606595214,0.03778175062791994,0.015384615384615332,0.9969230769230768,0.09478358150644872,0.21664744065641642,0.03703703703703709,0.012345679012345734,0.9955743698287474,52758.56368421052,34821.48559617226,43303.5,12694,256519
