Shape,OS Error Mean,OS Error St Dev,OS Error Median,OS Error Min,OS Error Max,IS Error Mean,IS Error St Dev,IS Error Median,IS Error Min,IS Error Max,Time Mean,Time St Dev,Time Median,Time Min,Time Max
"(5, 5, 5, 5, 5)",0.5490498196224437,0.029963869727531765,0.560890702847992,0.4184615384615384,0.6730924995950105,0.5445676671989913,0.0304072864812795,0.5577945703890288,0.4458696767573115,0.6296296296296297,220284.78684210527,168737.67475316572,178537.5,16003,613602
"(5, 5, 5)",0.5435246879941488,0.032413627204353056,0.5590894499344303,0.4246153846153846,0.6730924995950105,0.5390432654200475,0.03429301264804204,0.5566854021890706,0.3950617283950617,0.6296296296296297,172809.2657894737,125158.65646558817,148159.5,13878,439658
"(6, 6, 6, 6, 6)",0.5424791985155363,0.030657937303214675,0.5551099206929312,0.4184615384615384,0.672930503806901,0.5364256019922486,0.03194671267486507,0.5482546201232033,0.4104938271604939,0.6296296296296297,270344.9978947368,171916.77078668907,260657.0,17669,679469
"(5, 5, 5, 5)",0.5419728209470438,0.03268838248327501,0.5571445062415282,0.44,0.6730924995950105,0.5374837136929966,0.034198256217945845,0.5535714285714286,0.4290123456790124,0.6296296296296297,209545.8547368421,146415.55121054043,187771.5,15418,546336
"(5, 5)",0.5392439029623763,0.034009090278666936,0.5569230769230769,0.44,0.6654786975538636,0.5348278720469509,0.035928949997882216,0.5540089645466715,0.4012345679012346,0.6111111111111112,151392.56526315789,101495.75792577388,138333.0,13617,381124
"(6, 6, 6, 6)",0.5384850501765608,0.03203339920666402,0.5502051282051282,0.4246153846153846,0.6492791187429127,0.532970196191967,0.03260286271955257,0.5431655132202702,0.39814814814814814,0.6080246913580247,242536.32789473684,148919.6409829903,234242.0,16326,575029
"(7, 7, 7, 7, 7)",0.5361073384564111,0.03130594174470849,0.5408394383171278,0.4215384615384615,0.6276923076923078,0.528675431835341,0.030697503784509205,0.5285053929121726,0.4537037037037037,0.6234567901234568,319898.7989473684,175998.5226565515,310966.5,16557,660690
"(6, 6, 6)",0.5341723927004063,0.03300220287743797,0.5412008670071463,0.4184615384615384,0.6730924995950105,0.5288864356548801,0.034915285302869546,0.5327174749807544,0.4166666666666666,0.6296296296296297,216175.27210526317,123669.70688054993,212109.0,14852,515296
5,0.5335795950000837,0.03906885856575967,0.5535675462777607,0.4276923076923077,0.9349990946949122,0.5301156287166464,0.04020491706533396,0.5494383883810485,0.41975308641975306,0.9332648870636552,105851.64789473685,78636.43472471618,86419.0,12592,297655
"(8, 8, 8, 8, 8)",0.5329690908238989,0.030645872978197958,0.5331737346101231,0.44307692307692303,0.6329175441438523,0.5241945281211243,0.03153916080112275,0.5225872689938398,0.39814814814814814,0.6080246913580247,348507.0094736842,184742.4832101793,342091.0,17703,712620
"(7, 7, 7, 7)",0.5325571818949324,0.03269700341311962,0.5343870976999124,0.43692307692307697,0.6393638850889193,0.525678222392085,0.03348076820503213,0.5236091161664694,0.4382716049382716,0.6203703703703703,272227.73631578946,154658.61796132705,265999.0,14358,606678
"(6, 6)",0.5306445648209291,0.03516157191704049,0.5334600760456274,0.4338461538461539,0.6123076923076923,0.5263362260925434,0.03624540094562775,0.5269645608628659,0.4312114989733059,0.6111111111111112,177285.04842105263,100601.5777712981,174659.0,15410,405437
"(7, 7, 7)",0.5301554310895361,0.03265774776827676,0.5292307692307692,0.41538461538461535,0.6153846153846154,0.5227839630620856,0.03422263999419382,0.5192445153713172,0.4228395061728395,0.6172839506172839,237677.96315789473,127459.6217564104,234337.5,14616,559826
"(8, 8, 8)",0.5301540000865352,0.033066558204374784,0.5276955856643357,0.4276923076923077,0.6371294346346995,0.5229690609801226,0.03397416446873147,0.5185185185185186,0.4382716049382716,0.6101694915254237,244234.4242105263,133959.61955376712,239659.5,15578,527178
"(8, 8, 8, 8)",0.5285212594183477,0.030954419335136596,0.5261538461538462,0.44307692307692303,0.6342135104487283,0.5199598309698724,0.03242439492042222,0.5150115473441108,0.4259259259259259,0.6049382716049383,297177.6026315789,157361.0945857802,291438.0,16849,633284
6,0.5283182283672638,0.037266831369332426,0.5253375850776387,0.4338461538461539,0.6748749519045787,0.5244813902068235,0.039294008444976374,0.521806054386865,0.3888888888888888,0.6680348896870191,121926.1552631579,81499.52042880314,107910.5,13529,308779
