1,2,3
0,0,0
28,5941,188
0,11,4
1,2,3
0,0,0
28,5952,192
0,0,0
1,2,3
0,0,0
28,5952,192
0,0,0
1,2,3
0,0,0
28,5952,192
0,0,0
1,2,3
0,0,0
27,5629,180
0,9,2
1,2,3
0,0,0
27,5638,182
0,0,0
1,2,3
0,0,0
27,5638,182
0,0,0
1,2,3
0,0,0
27,5638,182
0,0,0
1,2,3
1,0,0
22,5323,164
0,8,4
1,2,3
0,0,0
23,5331,168
0,0,0
1,2,3
0,0,0
23,5331,168
0,0,0
1,2,3
0,0,0
23,5331,168
0,0,0
1,2,3
0,0,0
21,5007,155
0,10,4
1,2,3
0,0,0
21,5017,159
0,0,0
1,2,3
0,0,0
21,5017,159
0,0,0
1,2,3
0,0,0
21,5017,159
0,0,0
1,2,3
0,0,0
21,4693,144
0,11,3
1,2,3
0,0,0
21,4704,147
0,0,0
1,2,3
0,0,0
21,4704,147
0,0,0
1,2,3
0,0,0
21,4704,147
0,0,0
1,2,3
0,0,0
19,4393,127
0,5,3
1,2,3
0,0,0
19,4398,130
0,0,0
1,2,3
0,0,0
19,4398,130
0,0,0
1,2,3
0,0,0
19,4398,130
0,0,0
1,2,3
0,0,0
17,4077,122
0,5,2
1,2,3
0,0,0
17,4082,124
0,0,0
1,2,3
0,0,0
17,4082,124
0,0,0
1,2,3
0,0,0
17,4082,124
0,0,0
1,2,3
0,0,0
14,3763,113
0,6,2
1,2,3
0,0,0
14,3769,115
0,0,0
1,2,3
0,0,0
14,3769,115
0,0,0
1,2,3
0,0,0
14,3769,115
0,0,0
1,2,3
0,0,0
12,3449,104
0,6,2
1,2,3
0,0,0
12,3455,106
0,0,0
1,2,3
0,0,0
12,3455,106
0,0,0
1,2,3
0,0,0
12,3455,106
0,0,0
1,2,3
0,0,0
11,3133,98
0,5,1
1,2,3
0,0,0
11,3138,99
0,0,0
1,2,3
0,0,0
11,3138,99
0,0,0
1,2,3
0,0,0
11,3138,99
0,0,0
1,2,3
0,0,0
10,2819,92
0,2,0
1,2,3
0,0,0
10,2821,92
0,0,0
1,2,3
0,0,0
10,2821,92
0,0,0
1,2,3
0,0,0
10,2821,92
0,0,0
1,2,3
0,0,0
10,2506,79
0,3,0
1,2,3
0,0,0
10,2509,79
0,0,0
1,2,3
0,0,0
10,2509,79
0,0,0
1,2,3
0,0,0
10,2509,79
0,0,0
1,2,3
0,0,0
9,2195,68
0,1,0
1,2,3
0,0,0
9,2196,68
0,0,0
1,2,3
0,0,0
9,2196,68
0,0,0
1,2,3
0,0,0
9,2196,68
0,0,0
1,2,3
0,0,0
9,1883,57
0,0,0
1,2,3
0,0,0
9,1883,57
0,0,0
1,2,3
0,0,0
9,1883,57
0,0,0
1,2,3
0,0,0
9,1883,57
0,0,0
1,2,3
0,2,0
8,1568,45
0,1,0
1,2,3
0,0,0
8,1571,45
0,0,0
1,2,3
0,0,0
8,1571,45
0,0,0
1,2,3
0,0,0
8,1571,45
0,0,0
1,2,3
0,0,0
8,1256,35
0,0,0
1,2,3
0,0,0
8,1256,35
0,0,0
1,2,3
0,0,0
8,1256,35
0,0,0
1,2,3
0,0,0
8,1256,35
0,0,0
1,2,3
0,0,0
7,941,26
0,0,0
1,2,3
0,0,0
7,941,26
0,0,0
1,2,3
0,0,0
7,941,26
0,0,0
1,2,3
0,0,0
7,941,26
0,0,0
1,2,3
0,0,0
6,627,16
0,0,0
1,2,3
0,0,0
6,627,16
0,0,0
1,2,3
0,0,0
6,627,16
0,0,0
1,2,3
0,0,0
6,627,16
0,0,0
1,2,3
0,0,0
3,314,7
0,0,0
1,2,3
0,0,0
3,314,7
0,0,0
1,2,3
0,0,0
3,314,7
0,0,0
1,2,3
0,0,0
3,314,7
0,0,0
